"filename", "language", "Markdown", "YAML", "SQL", "Python", "Docker", "JavaScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Catalogue/ExpertDetail.js", "JavaScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 1, 7, 83
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Catalogue/ExpertsList.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 10, 50
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Home/Home.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginCustomer/LoginCustomer.js", "JavaScript", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 14, 96
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginCustomer/RegisterCustomer.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 11, 87
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginWorker/LoginWorker.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 14, 80
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Login/LoginWorker/RegisterWorker.js", "JavaScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 12, 116
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Logout/Logout.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 4, 18
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Navbar.js", "JavaScript", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 21, 124
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/CustomerProfile/ButtonCustomerProfile.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 28
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/CustomerProfile/CustomerProfile.js", "JavaScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/WorkerProfile/ButtonWorkerProfile.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Profile/WorkerProfile/WorkerProfile.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 11, 50
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/QeA/QeA.js", "JavaScript", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 16, 183
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Requests/CustomerRequests/CustomerRequests.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 7, 52
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Requests/WorkerRequests/WorkerRequests.js", "JavaScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 8, 61
"/home/lorenzo/LabAP/frontend/frontend-app/src/Components/Reviews/Reviews.js", "JavaScript", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 2, 21, 171
"/home/lorenzo/LabAP/frontend/frontend-app/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/home/lorenzo/LabAP/frontend/frontend-app/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 5, 24
"/home/lorenzo/LabAP/frontend/frontend-app/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/lorenzo/LabAP/frontend/frontend-app/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/home/lorenzo/LabAP/frontend/frontend-app/src/setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 39, 57, 92, 871, 87, 1750, 45, 1, 71, 20, 201, 726, 3960
